NIWA SolarView Calculations,,,,,,,,,
29-Jul-20,,,,,,,,,
,,,,,,,,,
Description,Custom location,,,,,,,,
Latitude,-41.33,,,,,,,,
Longitude,174.71,,,,,,,,
Panel Tilt,35,,,,,,,,
Bearing,0,,,,,,,,
Ground Albedo,0.1,,,,,,,,
Climate Zone,WN,Wellington,,,,,,,
Years of Data,18,,,,,,,,
,,,,,,,,,
Month,Day,Hour,Temperature,Rel. Hum.,Wind speed,Tilted Irr.,,Average ,
,,,¡C,%,m/s,W/m2,,89.53571429,
6,24,21,7.9,68,7.7,0,,,
6,24,22,7.7,66,6.6,0,,,
6,24,23,7.4,67,7.2,0,,,
6,25,0,7.3,66,3.6,0,,,
6,25,1,7.2,66,5.6,0,,,
6,25,2,6.8,68,2,0,,,
6,25,3,6.8,66,3,0,,,
6,25,4,6.9,64,2.5,0,,,
6,25,5,6.7,67,2,0,,,
6,25,6,6.6,67,2.5,0,,,
6,25,7,6.3,69,2,0,,,
6,25,8,6.9,69,2,26,,,
6,25,9,7.5,69,2,66,,,
6,25,10,8.3,66,2,128,,,
6,25,11,8.5,65,2.5,161,,,
6,25,12,8.8,66,3,217,,,
6,25,13,9.1,66,3,251,,,
6,25,14,8.8,69,5.6,160,,,
6,25,15,8.3,71,7.7,48,,,
6,25,16,8.2,72,9.2,40,,,
6,25,17,8,71,10.3,0,,,
6,25,18,7.5,77,11.8,0,,,
6,25,19,6.4,83,15.4,0,,,
6,25,20,6.4,83,15.4,0,,,
6,25,21,6.6,77,15.4,0,,,
6,25,22,6.9,69,14.9,0,,,
6,25,23,6.6,69,12.8,0,,,
